36773_2#10	AF100	6	65919	0.413446805928488	0c43e5e7a6150be3402e0fb4096678cb	IncQ1,rep_cluster_304	000195__NC_013728_00014,001612__AJ627386	MOBH	NC_011409_00070	MPF_G	NC_011409_00056	-	-	conjugative	NC_011409	0.00811798	Haemophilus influenzae	AF100	AP013	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#126	AB621	1	4613	0.4144808150877954	baf73e708bb27e6e68d7a99ca9be9152	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000264084	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#128	AF100	5	30677	0.4296052417120318	4a4394af3d7def2cd951c2f62bde502e	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0281347	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#129	AB621	1	4613	0.4144808150877954	7207da125cfe09e11acfa02aafabc1e2	-	-	MOBF,MOBP,MOBP	NC_019255_00001,NC_019214_00002,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000167546	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#144	AF100	4	56598	0.4043075727057493	c55ddff88424f9ddef069294a0e64cb8	rep_cluster_304	001612__AJ627386	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0164989	Haemophilus influenzae	AF100	AP013	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#150	AF100	2	29522	0.42666486010432897	3bdba2b683623ccd7b6047839b77a307	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0343598	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#158	AB621	1	4613	0.4144808150877954	12eea4eaea3734595b4625bceac071a7	-	-	MOBF,MOBP	NC_019255_00001,NC_012216_00002	-	-	-	-	mobilizable	NC_014813	0.000264084	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#160	AF100	3	35667	0.38724871730170746	37c0de1287cdbf728a85c5869c6f3df7	rep_cluster_304	001612__AJ627386	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0299949	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#179	AB621	1	4613	0.4144808150877954	b230212777726eae672e108c5fc0605a	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000385581	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#187	AB621	1	4613	0.4144808150877954	7e0ec79c4da3bdc28b6f235230c9df78	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000239895	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#199	AF100	2	29522	0.42666486010432897	024356d63038257f726ad576a5c17b20	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0343598	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#19	AF100	3	24835	0.4366418361183813	e53a36f59552b2edb8ca158076f1984d	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0357395	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#200	AF100	4	29684	0.4286821183128958	dd1b01e1b1f435dbe540ab33d6ec996b	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0286795	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#211	AB621	1	4613	0.4144808150877954	d7c39d3e846e668dcef250322ba06291	-	-	MOBF,MOBP,MOBP	NC_019255_00001,NC_012216_00002,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.00028831	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#239	AC497	1	35408	0.32992544057840034	ab72dd61b8f7306b21cb33af82d72a34	-	-	-	-	-	-	-	-	non-mobilizable	GQ866234	0.0358575	Aggregatibacter actinomycetemcomitans D11S-1	AC497	-	genus	Aggregatibacter	genus	Aggregatibacter	-	-	-
36773_2#239	AB946	1	5047	0.38815137705567665	db0f00b48bfab787802c7f96c44ce2d0	rep_cluster_1046	000290__NC_019186_00001	MOBV	NC_019185_00004	-	-	-	-	mobilizable	JQ783056	0.000385581	Haemophilus influenzae	AB946	AK929	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#240	AB621	1	4613	0.4144808150877954	1f723f9f8a466a17581a32b54e08ddbd	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000239895	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#241	AB621	1	4613	0.4144808150877954	092b7f845bf7c3946c29cd9f0d87263e	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000336872	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#24	AB621	1	4613	0.4144808150877954	69714c5ce548c32650d4ead7b47527ee	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000705841	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#251	AF100	2	23680	0.43386824324324325	df0f2d13bb32fd012d4f146dcde2a6ae	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0378117	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#26	AF100	3	30671	0.429330638062013	394ce6c4759d5ec2f24c627f190c5731	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.028588	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#273	AF100	3	25041	0.43676370751966775	fa4dea4bb816e1a0a2fa9b4066e3261a	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0351567	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#277	AF100	3	25041	0.43676370751966775	7a3e2b6bac8dd38f30f3c39cb1226f3c	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0351567	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#312	AF100	2	23680	0.43386824324324325	606843f18fa7b5042dca5ee33f3141a6	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0378117	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#341	AB621	1	4613	0.4144808150877954	857907ffe26fea13ce8244401a42ed72	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000215742	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#347	AF100	4	29684	0.4287158064950815	c4dde7b33c613c233b700b6867d36da9	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.028588	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#35	AE169	1	3510	0.4413105413105413	2a07c1361bddcfe36eae4f0f191a2a34	rep_cluster_1308	000626__NC_005325_00001	MOBP	NC_005325_00003	-	-	-	-	mobilizable	NC_005325	0.00213483	Moraxella catarrhalis	AE169	AN894	genus	Moraxella	genus	Moraxella	-	-	-
36773_2#361	AF100	5	30677	0.4296052417120318	d616223bfc846cc1fff860289fb313c4	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0281347	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#363	AF100	5	30677	0.4296052417120318	fa5c7057cb55b5a835bf540aed97e0ac	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0281347	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#374	AF100	3	25041	0.436963380056707	cf454892c4244faeb4ddc9d2c39c94d4	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0353885	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#39	AB621	1	4613	0.4144808150877954	d3743394e1a18c5b2e535960162cc91d	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.00028831	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#3	AF100	4	29684	0.4286821183128958	e78c0ca0192cd86ddc98fb2f4016906f	-	-	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0286795	Haemophilus influenzae	AF100	-	genus	Haemophilus	genus	Haemophilus	-	-	-
36773_2#50	AB621	1	4613	0.4144808150877954	ec08d37ebd9d07af315df8a12d53b398	-	-	MOBF,MOBP	NC_019255_00001,NC_010069_00004	-	-	-	-	mobilizable	NC_014813	0.000361208	Haemophilus influenzae	AB621	AK475	family	Pasteurellaceae	family	Pasteurellaceae	-	-	-
36773_2#5	AF100	4	56984	0.4046398989189948	cc4fa9c3912932a73fbc195f72aa0c7d	rep_cluster_304	001612__AJ627386	-	-	-	-	-	-	non-mobilizable	NC_011409	0.0163866	Haemophilus influenzae	AF100	AP013	genus	Haemophilus	genus	Haemophilus	-	-	-
