Taxon,Cluster
36985_2#308_fa,252
5628,252
3956,252
36812_1#288_fa,252
36812_1#368_fa,252
36983_2#372_fa,252
15899,252
36985_1#10_fa,252
37017_2#162_fa,252
4133,252
37017_2#360_fa,252
5572,252
3317,252
3965,252
3801,252
36774_1#379_fa,252
36812_2#245_fa,252
36983_2#99_fa,252
36774_1#196_fa,252
36985_1#270_fa,252
36985_2#367_fa,252
15895,252
3406,252
36774_1#207_fa,252
36985_2#18_fa,252
36774_1#141_fa,252
4079,252
3520,252
36812_1#250_fa,252
36812_1#177_fa,252
4130,252
36774_1#317_fa,252
36984_2#87_fa,252
36983_1#192_fa,252
36773_2#128_fa,252
36774_1#264_fa,252
36774_1#355_fa,252
15917,252
15928,252
36774_1#71_fa,252
36984_2#339_fa,252
19509,252
36812_1#198_fa,252
36984_2#109_fa,252
36984_2#333_fa,252
36812_2#349_fa,252
3396,252
15910,252
5819,252
4019,252
4630,252
36984_2#280_fa,252
36812_1#78_fa,252
36983_2#328_fa,252
15902,252
36984_2#223_fa,252
36812_1#234_fa,252
36984_2#182_fa,252
5433,252
36774_1#237_fa,252
38087_1#30_fa,252
4456,252
36812_2#156_fa,252
37017_2#303_fa,252
36983_2#262_fa,252
37017_2#253_fa,252
36774_1#128_fa,252
3824,252
36774_1#321_fa,252
5616,252
36812_1#145_fa,252
36985_1#369_fa,252
36983_2#207_fa,252
15927,252
4579,252
15912,252
36984_2#78_fa,252
4452,252
36984_2#102_fa,252
3864,252
3592,252
36774_2#282_fa,252
36985_2#234_fa,252
5806,252
5416,252
37017_1#82_fa,252
36812_1#324_fa,252
36985_2#62_fa,252
36985_2#111_fa,252
36985_1#358_fa,252
46472_2#120_fa,252
3449,252
5757,252
3574,252
4542,252
37017_2#181_fa,252
3637,252
36774_1#116_fa,252
36983_2#97_fa,252
36812_1#6_fa,252
36985_1#82_fa,252
36983_1#126_fa,252
4808,252
4329,252
3514,252
3630,252
4108,252
4636,252
5100,252
5422,252
5754,252
5799,252
36812_2#62_fa,252
37017_2#321_fa,252
4181,252
37017_2#34_fa,252
36985_1#11_fa,252
3325,252
4782,252
4576,252
5099,252
36983_1#169_fa,252
4595,252
38087_1#253_fa,252
15942,252
19459,252
5421,252
36985_2#77_fa,252
36984_2#94_fa,252
15976,252
37017_1#350_fa,252
15911,252
4742,252
5275,252
36774_2#379_fa,252
5082,252
15915,252
4580,252
5269,252
36983_1#39_fa,252
36984_2#382_fa,252
36774_2#352_fa,252
36983_1#30_fa,252
36982_2#372_fa,252
15955,252
36985_1#355_fa,252
3526,252
15958,252
4294,252
36983_1#319_fa,252
3585,252
36774_1#155_fa,252
15896,252
15903,252
3114,252
5621,252
19532,252
4295,252
36984_2#329_fa,252
36812_1#322_fa,252
4092,252
5591,252
36812_1#107_fa,252
3804,252
36982_2#160_fa,252
5813,252
36983_2#313_fa,252
4249,252
3802,252
4573,252
3846,252
36983_1#185_fa,252
4148,252
4113,252
4222,252
4378,252
5103,252
37017_2#307_fa,252
15946,252
4430,252
4776,252
4770,252
36983_1#323_fa,252
36983_1#128_fa,252
36983_1#87_fa,252
3926,252
17802,252
4077,252
3627,252
4429,252
36773_2#347_fa,252
36774_2#104_fa,252
36983_1#44_fa,252
36985_2#214_fa,252
36985_2#266_fa,252
36774_1#368_fa,252
4741,252
2353,252
3346,252
4104,252
5817,252
3115,252
4431,252
36812_1#122_fa,252
15972,252
5578,252
5777,252
5274,252
5431,252
3429,252
36774_1#8_fa,252
36812_1#190_fa,252
5611,252
36983_2#230_fa,252
37017_2#1_fa,252
37311_1#97_fa,252
36812_2#128_fa,252
15909,252
4465,252
36812_1#109_fa,252
36983_2#47_fa,252
15919,252
36985_2#49_fa,252
37017_2#212_fa,252
3352,252
3893,252
36773_2#26_fa,252
36985_2#272_fa,252
37017_2#188_fa,252
15916,252
46358_2#349_fa,252
36773_2#3_fa,252
37017_2#246_fa,252
4735,252
36812_1#370_fa,252
36985_2#259_fa,252
36985_2#320_fa,252
36985_1#197_fa,252
36812_1#178_fa,252
36985_1#354_fa,252
15965,252
2463,252
38087_1#212_fa,252
3387,252
4789,252
37311_1#229_fa,252
36773_2#200_fa,252
36812_1#382_fa,252
